"time_tag","Obsdate","Obstime","Station","Observatory","Type","Quality","Region","Latitude","Report_Longitude","Longitude","Report_Location","Location","Carlon","Extent","Area","Numspot","Zurich","Penumbra","Compact","Spotclass","Magcode","Magclass","Obsid","Report_Status","ValidSpotClass"
"2024-12-18T00:03:00","2024-12-18T00:00:00","0003","94302","LEA","spt","2","3920","22","-67","-81","N22W67","N22W81","328","1","120","2","7","3","1","Hax","1","A","428","2","1"
"2024-12-18T00:03:00","2024-12-18T00:00:00","0003","94302","LEA","spt","2","3924","-18","-55","-69","S18W55","S18W69","316","8","380","10","4","3","2","Dao","3","BG","432","2","1"
"2024-12-18T00:03:00","2024-12-18T00:00:00","0003","94302","LEA","spt","2","3922","-18","-27","-41","S18W27","S18W41","288","8","200","18","4","3","3","Dai","2","B","431","2","1"
"2024-12-18T00:03:00","2024-12-18T00:00:00","0003","94302","LEA","spt","2","3925","11","7","-7","N11E07","N11W07","254","3","0","4","2","0","2","Bxo","2","B","434","2","1"
"2024-12-18T00:03:00","2024-12-18T00:00:00","0003","94302","LEA","spt","2","3926","-20","42","28","S20E42","S20E28","219","2","140","2","7","2","1","Hsx","1","A","435","2","1"
"2024-12-18T00:03:00","2024-12-18T00:00:00","0003","94302","LEA","spt","2","null","21","46","32","N21E46","N21E32","215","0","0","1","1","0","1","Axx","1","A","436","2","1"
"2024-12-17T15:05:00","2024-12-17T00:00:00","1505","72269","HOL","spt","3","3920","21","-59","-64","N21W59","N21W64","325","4","120","2","7","4","1","Hhx","1","A","503","2","1"
"2024-12-17T15:05:00","2024-12-17T00:00:00","1505","72269","HOL","spt","3","3924","-19","-49","-54","S19W49","S19W54","315","18","560","14","6","5","2","Fko","2","B","509","2","1"
"2024-12-17T15:05:00","2024-12-17T00:00:00","1505","72269","HOL","spt","3","3922","-18","-20","-25","S18W20","S18W25","286","10","360","15","5","3","3","Eai","2","B","507","2","1"
"2024-12-17T15:05:00","2024-12-17T00:00:00","1505","72269","HOL","spt","3","3925","11","14","9","N11E14","N11E09","252","8","30","4","3","1","2","Cro","2","B","510","2","1"
"2024-12-17T15:05:00","2024-12-17T00:00:00","1505","72269","HOL","spt","3","null","20","50","45","N20E50","N20E45","216","0","0","1","1","0","1","Axx","1","A","515","2","1"
"2024-12-17T15:05:00","2024-12-17T00:00:00","1505","72269","HOL","spt","3","null","-7","36","31","S07E36","S07E31","230","3","30","3","7","1","1","Hrx","1","A","514","2","1"
"2024-12-17T15:05:00","2024-12-17T00:00:00","1505","72269","HOL","spt","3","3926","-21","47","42","S21E47","S21E42","219","8","160","3","7","2","1","Hsx","1","A","513","2","1"
"2024-12-17T09:06:00","2024-12-17T00:00:00","0906","16320","SVI","spt","3","3920","20","-59","-68","N20W59","N20W68","328","2","60","1","7","2","1","Hsx","1","A","450","2","1"
"2024-12-17T09:06:00","2024-12-17T00:00:00","0906","16320","SVI","spt","3","3922","-19","-18","-27","S19W18","S19W27","287","8","70","10","4","3","2","Dao","2","B","453","2","1"
"2024-12-17T09:06:00","2024-12-17T00:00:00","0906","16320","SVI","spt","3","3924","-20","-48","-57","S20W48","S20W57","317","14","240","11","5","5","2","Eko","5","BD","455","2","1"
"2024-12-17T09:06:00","2024-12-17T00:00:00","0906","16320","SVI","spt","3","3926","-20","52","43","S20E52","S20E43","217","6","70","2","3","2","2","Cso","2","B","459","2","1"
"2024-12-17T09:06:00","2024-12-17T00:00:00","0906","16320","SVI","spt","3","3925","11","14","5","N11E14","N11E05","255","0","0","1","1","0","1","Axx","1","A","460","2","1"
"2024-12-17T00:08:00","2024-12-17T00:00:00","0008","94302","LEA","spt","3","3920","22","-53","-67","N22W53","N22W67","327","2","110","1","7","2","1","Hsx","1","A","428","2","1"
"2024-12-17T00:08:00","2024-12-17T00:00:00","0008","94302","LEA","spt","3","3919","-13","-78","-92","S13W78","S13W92","352","4","140","3","4","2","2","Dso","2","B","433","2","1"
"2024-12-17T00:08:00","2024-12-17T00:00:00","0008","94302","LEA","spt","3","3924","-19","-43","-57","S19W43","S19W57","317","10","500","21","4","4","3","Dhi","3","BG","432","2","1"
"2024-12-17T00:08:00","2024-12-17T00:00:00","0008","94302","LEA","spt","3","3922","-18","-13","-27","S18W13","S18W27","287","8","140","12","4","4","3","Dhi","5","BD","431","2","1"
"2024-12-17T00:08:00","2024-12-17T00:00:00","0008","94302","LEA","spt","3","3926","-21","55","41","S21E55","S21E41","219","4","160","3","3","2","2","Cso","2","B","435","2","1"
"2024-12-16T20:45:00","2024-12-16T00:00:00","2045","72269","HOL","spt","3","3919","-14","-79","-81","S14W79","S14W81","355","2","180","2","4","3","2","Dao","2","B","511","2","1"
"2024-12-16T20:45:00","2024-12-16T00:00:00","2045","72269","HOL","spt","3","3920","23","-53","-55","N23W53","N23W55","329","4","220","6","3","3","2","Cao","2","B","503","2","1"
"2024-12-16T20:45:00","2024-12-16T00:00:00","2045","72269","HOL","spt","3","3920","-19","-9","-11","S19W09","S19W11","285","7","190","6","3","3","2","Cao","2","B","512","2","1"
"2024-12-16T20:45:00","2024-12-16T00:00:00","2045","72269","HOL","spt","3","3922","-19","-40","-42","S19W40","S19W42","316","10","740","31","4","3","3","Dai","2","B","509","2","1"
"2024-12-16T20:45:00","2024-12-16T00:00:00","2045","72269","HOL","spt","3","3926","-20","56","54","S20E56","S20E54","220","3","220","3","3","3","2","Cao","2","B","513","2","1"
"2024-12-16T07:22:00","2024-12-16T00:00:00","0722","16320","SVI","spt","3","3917","-8","-87","-97","S08W87","S08W97","10","10","30","1","7","2","1","Hsx","1","A","448","2","1"
"2024-12-16T07:22:00","2024-12-16T00:00:00","0722","16320","SVI","spt","3","3920","21","-44","-54","N21W44","N21W54","327","13","90","6","5","2","2","Eso","2","B","450","2","1"
"2024-12-16T07:22:00","2024-12-16T00:00:00","0722","16320","SVI","spt","3","3922","-18","-4","-14","S18W04","S18W14","287","6","50","12","4","3","3","Dai","2","B","453","2","1"
"2024-12-16T07:22:00","2024-12-16T00:00:00","0722","16320","SVI","spt","3","3924","-19","-33","-43","S19W33","S19W43","316","13","210","17","5","3","3","Eai","2","B","455","2","1"
